Model Suite,Model Name,Asset Class,Fund Name,Ticker,Previous Allocation,Change,Current Allocation,As of date
Tactical MF/ETF,JPMorgan Tactical 40-60 Model,U.S. Equity,JPMorgan Growth Advantage I,JGASX,2.50%,0.00%,2.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Model,Extended Credit,JPMorgan Income I,JMSIX,3.50%,1.50%,5.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Model,Extended Credit,JPMorgan BetaBuilders $ HY Corp Bnd ETF,BBHY,2.50%,1.00%,3.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Model,U.S. Equity,JPMorgan Equity Premium Income I,JEPIX,1.00%,0.00%,1.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Model,Emerging Markets Equity,JPMorgan Emerging Mkts Rsrch Enh Eq I,EMREX,1.75%,0.00%,1.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Model,U.S. Investment Grade,JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,30.00%,-2.50%,27.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,3.75%,1.00%,4.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,3.00%,0.00%,3.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Model,U.S. Equity,JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,1.00%,0.00%,1.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Model,Developed Markets Equity,JPMorgan International Rsrch Enh Eq ETF,JIRE,2.50%,0.00%,2.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Tax Aware Model,U.S. Investment Grade,JPMorgan Tax Free Bond I,PRBIX,15.50%,0.00%,15.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Tax Aware Model,U.S. Equity,JPMorgan Large Cap Value I,HLQVX,3.50%,0.75%,4.25%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Tax Aware Model,U.S. Equity,JPMorgan Large Cap Growth I,SEEGX,5.50%,-2.00%,3.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Tax Aware Model,Developed Markets Equity,JPMorgan International Equity I,VSIEX,4.50%,-0.75%,3.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Tax Aware Model,U.S. Equity,JPMorgan US Equity I,JUESX,6.00%,1.75%,7.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Tax Aware Model,Cash,JPMorgan Prime Money Market Inst,JINXX,2.00%,0.00%,2.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Tax Aware Model,U.S. Equity,JPMorgan Value Advantage I,JVASX,1.50%,0.00%,1.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Tax Aware Model,Emerging Markets Equity,JPMorgan Emerging Markets Equity I,JEMSX,2.50%,-0.75%,1.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Tax Aware Model,U.S. Investment Grade,JPMorgan National Municipal Income I,JITIX,38.00%,-3.50%,34.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Tax Aware Model,U.S. Equity,JPMorgan Growth Advantage I,JGASX,2.50%,0.00%,2.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Tax Aware Model,Extended Credit,JPMorgan Income I,JMSIX,3.00%,2.50%,5.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Tax Aware Model,Extended Credit,JPMorgan BetaBuilders $ HY Corp Bnd ETF,BBHY,2.50%,1.00%,3.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Tax Aware Model,U.S. Equity,JPMorgan Equity Premium Income I,JEPIX,1.00%,0.00%,1.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Tax Aware Model,Emerging Markets Equity,JPMorgan Emerging Mkts Rsrch Enh Eq I,EMREX,1.75%,0.00%,1.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Tax Aware Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,3.75%,1.00%,4.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Tax Aware Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,3.00%,0.00%,3.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Tax Aware Model,U.S. Equity,JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,1.00%,0.00%,1.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 40-60 Tax Aware Model,Developed Markets Equity,JPMorgan International Rsrch Enh Eq ETF,JIRE,2.50%,0.00%,2.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Model,U.S. Investment Grade,JPMorgan Core Plus Bond I,HLIPX,10.75%,0.00%,10.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Model,U.S. Equity,JPMorgan Large Cap Value I,HLQVX,6.00%,1.00%,7.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Model,U.S. Equity,JPMorgan Large Cap Growth I,SEEGX,9.50%,-2.50%,7.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Model,Developed Markets Equity,JPMorgan International Equity I,VSIEX,7.00%,-1.00%,6.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Model,U.S. Equity,JPMorgan US Equity I,JUESX,7.75%,2.50%,10.25%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Model,Cash,JPMorgan Prime Money Market Inst,JINXX,2.00%,0.00%,2.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Model,U.S. Equity,JPMorgan Value Advantage I,JVASX,3.00%,0.00%,3.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Model,Emerging Markets Equity,JPMorgan Emerging Markets Equity I,JEMSX,3.75%,-1.00%,2.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Model,U.S. Investment Grade,iShares 10-20 Year Treasury Bond ETF,TLH,5.00%,0.00%,5.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Model,U.S. Equity,JPMorgan Growth Advantage I,JGASX,3.00%,0.00%,3.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Model,Extended Credit,JPMorgan Income I,JMSIX,3.50%,1.50%,5.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Model,Extended Credit,JPMorgan BetaBuilders $ HY Corp Bnd ETF,BBHY,2.00%,1.00%,3.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Model,U.S. Equity,JPMorgan Equity Premium Income I,JEPIX,1.50%,0.00%,1.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Model,Emerging Markets Equity,JPMorgan Emerging Mkts Rsrch Enh Eq I,EMREX,3.25%,0.00%,3.25%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Model,U.S. Investment Grade,JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,17.75%,-2.50%,15.25%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,5.50%,1.00%,6.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,3.75%,0.00%,3.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Model,U.S. Equity,JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,1.00%,0.00%,1.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Model,Developed Markets Equity,JPMorgan International Rsrch Enh Eq ETF,JIRE,4.00%,0.00%,4.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Tax Aware Model,U.S. Investment Grade,JPMorgan Tax Free Bond I,PRBIX,9.50%,0.00%,9.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Tax Aware Model,U.S. Equity,JPMorgan Large Cap Value I,HLQVX,6.00%,1.00%,7.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Tax Aware Model,U.S. Equity,JPMorgan Large Cap Growth I,SEEGX,9.50%,-2.50%,7.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Tax Aware Model,Developed Markets Equity,JPMorgan International Equity I,VSIEX,7.00%,-1.00%,6.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Tax Aware Model,U.S. Equity,JPMorgan US Equity I,JUESX,7.75%,2.50%,10.25%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Tax Aware Model,Cash,JPMorgan Prime Money Market Inst,JINXX,2.00%,0.00%,2.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Tax Aware Model,U.S. Equity,JPMorgan Value Advantage I,JVASX,3.00%,0.00%,3.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Tax Aware Model,Emerging Markets Equity,JPMorgan Emerging Markets Equity I,JEMSX,3.75%,-1.00%,2.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Tax Aware Model,U.S. Investment Grade,JPMorgan National Municipal Income I,JITIX,24.50%,-3.00%,21.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Tax Aware Model,U.S. Equity,JPMorgan Growth Advantage I,JGASX,3.00%,0.00%,3.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Tax Aware Model,Extended Credit,JPMorgan Income I,JMSIX,3.00%,2.00%,5.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Tax Aware Model,Extended Credit,JPMorgan BetaBuilders $ HY Corp Bnd ETF,BBHY,2.00%,1.00%,3.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Tax Aware Model,U.S. Equity,JPMorgan Equity Premium Income I,JEPIX,1.50%,0.00%,1.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Tax Aware Model,Emerging Markets Equity,JPMorgan Emerging Mkts Rsrch Enh Eq I,EMREX,3.25%,0.00%,3.25%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Tax Aware Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,5.50%,1.00%,6.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Tax Aware Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,3.75%,0.00%,3.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Tax Aware Model,U.S. Equity,JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,1.00%,0.00%,1.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 60-40 Tax Aware Model,Developed Markets Equity,JPMorgan International Rsrch Enh Eq ETF,JIRE,4.00%,0.00%,4.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Model,U.S. Investment Grade,JPMorgan Core Plus Bond I,HLIPX,8.00%,0.00%,8.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Model,U.S. Equity,JPMorgan Large Cap Value I,HLQVX,7.75%,1.00%,8.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Model,U.S. Equity,JPMorgan Large Cap Growth I,SEEGX,11.00%,-2.50%,8.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Model,Developed Markets Equity,JPMorgan International Equity I,VSIEX,9.00%,-1.00%,8.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Model,U.S. Equity,JPMorgan US Equity I,JUESX,10.50%,2.50%,13.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Model,Cash,JPMorgan Prime Money Market Inst,JINXX,2.00%,0.00%,2.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Model,U.S. Equity,JPMorgan Value Advantage I,JVASX,4.50%,0.00%,4.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Model,Emerging Markets Equity,JPMorgan Emerging Markets Equity I,JEMSX,5.50%,-1.00%,4.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Model,U.S. Investment Grade,iShares 10-20 Year Treasury Bond ETF,TLH,4.00%,0.00%,4.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Model,U.S. Equity,JPMorgan Growth Advantage I,JGASX,5.00%,0.00%,5.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Model,Extended Credit,JPMorgan Income I,JMSIX,3.50%,1.50%,5.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Model,Extended Credit,JPMorgan BetaBuilders $ HY Corp Bnd ETF,BBHY,2.00%,1.00%,3.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Model,U.S. Equity,JPMorgan Equity Premium Income I,JEPIX,1.50%,0.00%,1.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Model,Emerging Markets Equity,JPMorgan Emerging Mkts Rsrch Enh Eq I,EMREX,2.50%,0.00%,2.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Model,U.S. Investment Grade,JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,6.50%,-2.50%,4.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,5.75%,1.00%,6.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,4.50%,0.00%,4.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Model,U.S. Equity,JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,1.00%,0.00%,1.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Model,Developed Markets Equity,JPMorgan International Rsrch Enh Eq ETF,JIRE,5.50%,0.00%,5.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Tax Aware Model,U.S. Investment Grade,JPMorgan Tax Free Bond I,PRBIX,7.00%,0.00%,7.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Tax Aware Model,U.S. Equity,JPMorgan Large Cap Value I,HLQVX,7.75%,1.00%,8.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Tax Aware Model,U.S. Equity,JPMorgan Large Cap Growth I,SEEGX,11.00%,-2.50%,8.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Tax Aware Model,Developed Markets Equity,JPMorgan International Equity I,VSIEX,9.00%,-1.00%,8.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Tax Aware Model,U.S. Equity,JPMorgan US Equity I,JUESX,8.25%,2.50%,10.75%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Tax Aware Model,Cash,JPMorgan Prime Money Market Inst,JINXX,2.00%,0.00%,2.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Tax Aware Model,U.S. Equity,JPMorgan Value Advantage I,JVASX,4.50%,0.00%,4.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Tax Aware Model,Emerging Markets Equity,JPMorgan Emerging Markets Equity I,JEMSX,5.50%,-1.00%,4.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Tax Aware Model,U.S. Investment Grade,JPMorgan National Municipal Income I,JITIX,12.00%,-3.00%,9.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Tax Aware Model,U.S. Equity,JPMorgan Growth Advantage I,JGASX,5.00%,0.00%,5.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Tax Aware Model,Extended Credit,JPMorgan Income I,JMSIX,3.00%,2.00%,5.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Tax Aware Model,Extended Credit,JPMorgan BetaBuilders $ HY Corp Bnd ETF,BBHY,2.00%,1.00%,3.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Tax Aware Model,U.S. Equity,JPMorgan Equity Premium Income I,JEPIX,1.50%,0.00%,1.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Tax Aware Model,Emerging Markets Equity,JPMorgan Emerging Mkts Rsrch Enh Eq I,EMREX,2.50%,0.00%,2.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Tax Aware Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,8.00%,1.00%,9.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Tax Aware Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,4.50%,0.00%,4.50%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Tax Aware Model,U.S. Equity,JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,1.00%,0.00%,1.00%,08/24/2023
Tactical MF/ETF,JPMorgan Tactical 75-25 Tax Aware Model,Developed Markets Equity,JPMorgan International Rsrch Enh Eq ETF,JIRE,5.50%,0.00%,5.50%,08/24/2023
