Model Suite,Model Name,Asset Class,Fund Name,Ticker,Previous Allocation,Change,Current Allocation,As of date
Strategic MF/ETF,JPMorgan Strategic 40-60 ETF/MF Model,Emerging Markets Equity,JPMorgan Emerging Markets Equity I,JEMSX,2.00%,0.00%,2.00%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 40-60 ETF/MF Model,Cash,JPMorgan US Government MMkt Instl,IJGXX,2.00%,0.00%,2.00%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 40-60 ETF/MF Model,U.S. Investment Grade,JPMorgan Core Plus Bond ETF,JCPB,19.70%,0.30%,20.00%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 40-60 ETF/MF Model,U.S. Investment Grade,JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,19.20%,0.30%,19.50%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 40-60 ETF/MF Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,11.90%,-0.30%,11.60%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 40-60 ETF/MF Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,10.00%,-0.30%,9.70%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 40-60 ETF/MF Model,U.S. Equity,JPMorgan BetaBuilders US Mid Cap Eq ETF,BBMC,2.80%,-0.10%,2.70%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 40-60 ETF/MF Model,U.S. Equity,JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,1.40%,0.00%,1.40%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 60-40 ETF/MF Model,U.S. Investment Grade,JPMorgan Core Bond I,WOBDX,12.50%,0.40%,12.90%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 60-40 ETF/MF Model,U.S. Equity,JPMorgan US Equity I,JUESX,17.80%,-0.30%,17.50%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 60-40 ETF/MF Model,Emerging Markets Equity,JPMorgan Emerging Markets Equity I,JEMSX,3.00%,0.00%,3.00%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 60-40 ETF/MF Model,Cash,JPMorgan US Government MMkt Instl,IJGXX,2.00%,0.00%,2.00%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 60-40 ETF/MF Model,U.S. Investment Grade,JPMorgan Core Plus Bond ETF,JCPB,12.90%,0.30%,13.20%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 60-40 ETF/MF Model,U.S. Investment Grade,JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,12.60%,0.30%,12.90%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 60-40 ETF/MF Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,17.90%,-0.30%,17.60%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 60-40 ETF/MF Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,15.00%,-0.30%,14.70%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 60-40 ETF/MF Model,U.S. Equity,JPMorgan BetaBuilders US Mid Cap Eq ETF,BBMC,4.20%,-0.10%,4.10%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 60-40 ETF/MF Model,U.S. Equity,JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,2.10%,0.00%,2.10%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 75-25 ETF/MF Model,U.S. Investment Grade,JPMorgan Core Bond I,WOBDX,7.60%,0.30%,7.90%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 75-25 ETF/MF Model,U.S. Equity,JPMorgan US Equity I,JUESX,22.30%,-0.30%,22.00%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 75-25 ETF/MF Model,Emerging Markets Equity,JPMorgan Emerging Markets Equity I,JEMSX,3.80%,-0.10%,3.70%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 75-25 ETF/MF Model,Cash,JPMorgan US Government MMkt Instl,IJGXX,2.00%,0.00%,2.00%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 75-25 ETF/MF Model,U.S. Investment Grade,JPMorgan Core Plus Bond ETF,JCPB,7.80%,0.40%,8.20%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 75-25 ETF/MF Model,U.S. Investment Grade,JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,7.60%,0.30%,7.90%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 75-25 ETF/MF Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,22.30%,-0.30%,22.00%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 75-25 ETF/MF Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,18.70%,-0.20%,18.50%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 75-25 ETF/MF Model,U.S. Equity,JPMorgan BetaBuilders US Mid Cap Eq ETF,BBMC,5.30%,-0.10%,5.20%,07/06/2023
Strategic MF/ETF,JPMorgan Strategic 75-25 ETF/MF Model,U.S. Equity,JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,2.60%,0.00%,2.60%,07/06/2023
