Model Suite,Model Name,Asset Class,Fund Name,Ticker,Previous Allocation,Change,Current Allocation,As of date
Income Mutual Fund,JPMorgan Multi-Asset Income 60-40 Model,Emerging Markets Equity,JPMorgan Emerging Mkts Rsrch Enh Eq I,EMREX,5.00%,0.00%,5.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 60-40 Model,Developed Markets Equity,JPMorgan International Rsrch Enh Eq ETF,JIRE,17.75%,0.00%,17.75%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 75-25 Model,U.S. Equity,JPMorgan Equity Income I,HLIEX,16.00%,0.00%,16.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 75-25 Model,U.S. Equity,JPMorgan Equity Index I,HLEIX,8.00%,0.00%,8.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 75-25 Model,Extended Credit,JPMorgan High Yield I,OHYFX,0.00%,2.00%,2.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 75-25 Model,U.S. Investment Grade,JPMorgan Core Plus Bond I,HLIPX,6.00%,-2.00%,4.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 75-25 Model,U.S. Investment Grade,JPMorgan Core Bond I,WOBDX,4.00%,0.00%,4.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 75-25 Model,Developed Markets Equity,JPMorgan International Equity I,VSIEX,14.00%,0.00%,14.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 75-25 Model,Cash,JPMorgan Prime Money Market Inst,JINXX,2.00%,0.00%,2.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 75-25 Model,Allocation,JPMorgan Income Builder I,JNBSX,5.00%,0.00%,5.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 75-25 Model,Extended Credit,JPMorgan Income I,JMSIX,11.00%,0.00%,11.00%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 75-25 Model,U.S. Equity,JPMorgan Equity Premium Income I,JEPIX,15.50%,0.00%,15.50%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 75-25 Model,Emerging Markets Equity,JPMorgan Emerging Mkts Rsrch Enh Eq I,EMREX,6.50%,0.00%,6.50%,08/25/2023
Income Mutual Fund,JPMorgan Multi-Asset Income 75-25 Model,Developed Markets Equity,JPMorgan International Rsrch Enh Eq ETF,JIRE,12.00%,0.00%,12.00%,08/25/2023
